标题链接,y,r_链接,r,zy2
"建党百年展芳华：西安交大女教工巾帼海报展（一）
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129999.htm,9,​2021年是建党100周年，西安交大女教工身处新时代、面向美好前程，由衷礼赞伟大的祖国和共产党。校工会、校女工委特开展女教工海报征集活动，展现女教工（集体）听党话跟党走、立足岗位建新功、昂扬向上的精神风貌，传递出女教工（集体）爱党爱国、奋发有...
"【强军战歌嘹亮】我是优秀哨兵：光荣在于平淡，艰巨在于漫长
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/130026.htm,9,​马弘时，男，文治书院，电信学部电子73班学生。2017年9月至2019年9月服役于武警新疆总队，服役期间，在中队先后担任应急排步枪手、学业辅导员、民族灶炊事员。圆满完成每一次执勤巡逻任务，并获得优秀哨兵称号。 青春有梦，投笔从戎几乎每个男孩都有一个...
"【文明巡礼】二附院：求真尚美 励志笃行 
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129990.htm,8,回眸2020年，不平凡中带着感动。年初，一场突如其来的新冠肺炎疫情打破了人们的正常生活秩序，危难时刻，医护人员冲在抗疫一线奋不顾身和新冠肺炎做斗争，守护着人们的生命安全，用无私奉献诠释大爱无疆。这一年，二附院在持续抗击疫情的同时，医教研管毫...
"我们身边的“她力量”
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129987.htm,8,阳春三月，樱花飞舞，桃花将灿，雾尽风暖。又是一年春光灿烂时，“三八”国际妇女节也如期而至。在交大校园里，有这样一群巾帼之花，她们突破自我，追寻多元的科研生活；她们悉心教导，化身明灯引路成长；她们默默奉献，只为服务做到最好；她们开拓进取，...
"【开局十四五】以创新举措破解校友工作难题，助力学校“6352”工程建设
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129983.htm,8,"立足新起点，迈向新征程。站在“十四五”开局之年,站在学校125周年的新征程新起点, 校友部落实学校寒假工作会议精神，落实“6352”工程精神，凝聚校友力量，服务学校“双一流”建设，以创新举措破解校友工作难题，努力提升“三服务”质量，提出校友工作高..."
"【校友建功立业风采】吴宜灿：做有用的科研
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129951.htm,8,​吴宜灿，中国科学院院士，现任中国科学院核能安全技术研究所所长。1985年毕业于西安交通大学核反应堆工程专业，取得学士学位；1988年毕业于西安交通大学反应堆工程和安全专业，取得硕士学位。长期从事核科学与技术研究工作，在核能与核安全方面取得了具...
"西安交大召开2021年春季学期教学工作会
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129954.htm,8,3月5日下午，西安交通大学召开2021年春季学期教学工作会议。会议全面总结2020年本科生、研究生人才培养工作及学生工作情况，并对人才培养系统高质量开局“十四五”，顺利完成2021年各项目标任务进行安排部署。副校长郑庆华，教学督导组组长、副组长，本科...
"交大社区综合养老服务中心开工建设
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129971.htm,8,在省、市、区各级政府的关心支持下，交大社区综合养老服务中心项目近日开工建设。2018年10月，交大社区综合养老服务中心建设项目启动。2020年，由西安交通大学人居学院周典教授团队、西安交通大学康桥设计院完成了该项目的设计及清单编制工作，并由离退休...
"西安交大召开2019-2020年度就业创业工作表彰会暨2021届毕业生就业工作部署推进会
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129967.htm,8,笃实力行谋发展，奋楫扬帆开新局。3月5日下午，西安交通大学召开2019-2020年度就业创业工作表彰会，激励表彰先进，聚力谋划新篇，全面助推2021年学生就业创业工作。西安交大副校长郑庆华出席会议，党委组织部、就创中心、教务处、研工部、学工部等部门负责...
"西安交大工会致全校女教职工国际劳动妇女节慰问信
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129937.htm,8,尊敬的全校女教职工：春意盎然、草长莺飞。在这阳光明媚、万物复苏的阳春三月，我们共同迎来了第111个“三八”国际劳动妇女节，校工会谨向辛勤耕耘在全校各工作岗位上的全校女教职工们致以节日的问候和崇高的敬意!2020年是新中国历史上极不平凡的一年，也...
